Ссылка,Раздел,Уровень,Группа,Видимость,Родитель по полю раздел,min,max
subopts-for-2519m426,Ares 836,Level: 4,Group: 2,hidden,Ares,0,0
subopts-for-2519,Arion,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m349,Arion 410,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 420,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 430,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 440,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 450,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 510,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 520,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 530,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 540,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 550,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 610,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 620,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 630,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 640,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 650,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519m349,Arion 660,Level: 4,Group: 2,hidden,Arion,0,0
subopts-for-2519,Atles,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m26,Atles 936,Level: 4,Group: 2,hidden,Atles,0,0
subopts-for-2519m26,Atles 946,Level: 4,Group: 2,hidden,Atles,0,0
subopts-for-2519,Atos,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m39405,Atos 220,Level: 4,Group: 2,hidden,Atos,0,0
subopts-for-2519m39405,Atos 330,Level: 4,Group: 2,hidden,Atos,0,0
subopts-for-2519,Axion,Level: 3,Group: 2,hidden,Claas,0,0
subopts-for-2519m346,Axion 800,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 810,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 820,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 830,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 840,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 850,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 870,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 920,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 930,Level: 4,Group: 2,hidden,Axion,0,0
subopts-for-2519m346,Axion 940,Level: 4,Group: 2,hidden,Axion,0,0
